order_id,customer_id,sales_rep_id,order_date,order_status,payment_status
1,42,16,2024-08-20,Completed,Paid
2,242,16,2025-03-25,Returned,Paid
3,329,18,2023-07-06,Completed,Paid
4,454,13,2025-01-29,Completed,Paid
5,23,9,2025-07-01,Completed,Pending
6,116,9,2024-06-23,Cancelled,Paid
7,386,4,2023-11-06,Completed,Paid
8,498,19,2025-04-27,Completed,Failed
9,431,13,2023-05-05,Cancelled,Pending
10,294,8,2025-08-30,Completed,Paid
11,203,2,2023-06-11,Cancelled,Failed
12,410,19,2025-11-24,Returned,Failed
13,62,15,2023-10-29,Completed,Paid
14,414,7,2024-03-09,Completed,Paid
15,41,14,2025-05-17,Completed,Paid
16,164,3,2024-06-12,Completed,Pending
17,283,11,2025-03-24,Completed,Failed
18,470,1,2025-07-27,Returned,Failed
19,401,14,2025-12-06,Completed,Pending
20,76,19,2023-11-03,Cancelled,Failed
21,474,4,2023-07-25,Cancelled,Paid
22,445,18,2024-08-08,Completed,Pending
23,197,16,2024-06-24,Cancelled,Failed
24,20,6,2025-08-26,Completed,Pending
25,317,20,2023-10-22,Returned,Pending
26,203,11,2023-03-21,Returned,Paid
27,382,16,2023-04-11,Completed,Paid
28,173,10,2023-02-11,Completed,Paid
29,440,4,2025-10-03,Completed,Paid
30,499,15,2024-09-07,Completed,Paid
31,310,3,2025-05-03,Completed,Pending
32,468,14,2024-03-08,Returned,Pending
33,445,12,2025-11-23,Completed,Failed
34,34,10,2023-11-22,Returned,Failed
35,70,17,2025-04-06,Cancelled,Paid
36,99,7,2023-12-22,Completed,Paid
37,234,2,2023-03-09,Completed,Paid
38,189,15,2024-07-15,Cancelled,Pending
39,349,1,2023-09-11,Completed,Paid
40,305,15,2025-09-28,Completed,Pending
41,177,6,2024-12-17,Completed,Paid
42,15,13,2024-08-06,Completed,Paid
43,439,8,2024-03-14,Returned,Paid
44,138,14,2024-02-28,Cancelled,Paid
45,243,5,2023-01-19,Returned,Paid
46,115,9,2023-01-18,Cancelled,Paid
47,217,13,2024-07-17,Completed,Pending
48,112,15,2024-05-31,Completed,Failed
49,300,4,2025-03-24,Completed,Failed
50,288,20,2025-02-05,Cancelled,Paid
51,351,4,2024-09-03,Completed,Paid
52,142,11,2024-11-19,Completed,Paid
53,97,5,2024-09-03,Cancelled,Paid
54,413,20,2023-04-27,Completed,Paid
55,370,1,2023-10-14,Returned,Pending
56,133,14,2024-08-28,Completed,Pending
57,299,19,2023-03-14,Completed,Paid
58,352,18,2024-03-31,Returned,Pending
59,260,10,2025-01-04,Completed,Failed
60,151,4,2024-01-06,Completed,Paid
61,372,18,2024-06-13,Completed,Paid
62,114,12,2023-07-02,Completed,Paid
63,404,11,2025-05-11,Completed,Paid
64,238,4,2024-08-25,Completed,Paid
65,242,7,2023-05-26,Cancelled,Paid
66,272,10,2025-02-20,Completed,Paid
67,71,7,2023-11-05,Completed,Pending
68,74,11,2025-07-26,Returned,Paid
69,250,11,2023-06-15,Returned,Paid
70,325,2,2024-10-03,Completed,Pending
71,108,6,2024-07-14,Cancelled,Paid
72,403,3,2025-09-29,Completed,Failed
73,325,14,2025-06-07,Completed,Pending
74,197,1,2025-09-04,Completed,Failed
75,375,12,2024-02-13,Completed,Paid
76,98,1,2025-12-23,Returned,Paid
77,116,12,2024-05-24,Completed,Paid
78,197,17,2023-07-30,Cancelled,Paid
79,34,2,2023-12-09,Completed,Paid
80,373,17,2025-07-22,Cancelled,Failed
81,223,5,2024-11-22,Completed,Pending
82,385,7,2025-01-05,Completed,Pending
83,117,8,2023-02-09,Returned,Paid
84,376,1,2024-03-08,Cancelled,Failed
85,64,12,2023-12-13,Returned,Paid
86,449,9,2025-02-07,Cancelled,Failed
87,305,2,2023-04-10,Returned,Paid
88,25,4,2023-02-10,Completed,Pending
89,64,18,2025-02-17,Completed,Pending
90,106,1,2023-11-10,Completed,Pending
91,340,17,2023-07-26,Completed,Failed
92,215,4,2023-10-08,Cancelled,Failed
